	a	brief
nightlife	have	become
have	become	almost
become	almost	respectable
almost	respectable	joe
respectable	joe	bananas
joe	bananas	23
bananas	23	luard
23	luard	road
luard	road	is
road	is	a
is	a	wan
a	wan	chai
wan	chai	mainstay
chai	mainstay	for
mainstay	for	all
for	all	night
all	night	partying
night	partying	rick
partying	rick	s
rick	s	cafe
s	cafe	78
cafe	78	82
78	82	jaffe
82	jaffe	road
jaffe	road	is
road	is	a
is	a	long
a	long	time
long	time	disco
time	disco	that
disco	that	s
that	s	still
s	still	popular
still	popular	a
popular	a	lot
a	lot	of
lot	of	the
of	the	raunchy
the	raunchy	action
raunchy	action	has
action	has	moved
has	moved	across
moved	across	the
across	the	harbor
the	harbor	to
harbor	to	tsim
to	tsim	sha
tsim	sha	tsui
sha	tsui	east
tsui	east	this
east	this	is
this	is	also
is	also	where
also	where	you
where	you	ll
you	ll	find
ll	find	pricey
find	pricey	hostess
pricey	hostess	clubs
hostess	clubs	popular
clubs	popular	with
popular	with	japanese
with	japanese	tourists
japanese	tourists	but
tourists	but	definitely
but	definitely	not
definitely	not	for
not	for	those
for	those	on
those	on	a
on	a	budget
a	budget	today
budget	today	s
today	s	trendy
s	trendy	spot
trendy	spot	is
spot	is	soho
is	soho	south
soho	south	of
south	of	hollywood
of	hollywood	around
hollywood	around	hollywood
around	hollywood	road
hollywood	road	elgin
road	elgin	and
elgin	and	stauton
and	stauton	streets
stauton	streets	soho
streets	soho	along
soho	along	with
along	with	the
with	the	lan
the	lan	kwai
lan	kwai	fong
kwai	fong	area
fong	area	is
area	is	popular
is	popular	with
popular	with	chuppies
with	chuppies	hong
chuppies	hong	kong
hong	kong	yuppies
kong	yuppies	and
yuppies	and	has
and	has	a
has	a	lively
a	lively	bar
lively	bar	scene
bar	scene	causeway
scene	causeway	bay
causeway	bay	also
bay	also	has
also	has	a
has	a	variety
a	variety	of
variety	of	bars
of	bars	and
bars	and	clubs
and	clubs	tott
clubs	tott	s
tott	s	in
s	in	the
in	the	excelsior
the	excelsior	hotel
excelsior	hotel	is
hotel	is	a
is	a	restaurant
a	restaurant	with
restaurant	with	live
with	live	music
live	music	and
music	and	dancing
and	dancing	and
dancing	and	a
and	a	harbor
a	harbor	view
harbor	view	japanese
view	japanese	karaoke
japanese	karaoke	bars
karaoke	bars	have
bars	have	now
have	now	become
now	become	extremely
become	extremely	popular
extremely	popular	with
popular	with	the
with	the	locals
the	locals	there
locals	there	are
there	are	a
are	a	number
a	number	of
number	of	these
of	these	on
these	on	chatham
on	chatham	road
chatham	road	south
road	south	and
south	and	around
and	around	cameron
around	cameron	street
cameron	street	in
street	in	tsim
in	tsim	sha
tsim	sha	tsui
sha	tsui	nightlife
tsui	nightlife	tours
nightlife	tours	are
tours	are	offered
are	offered	by
offered	by	a
by	a	number
a	number	of
number	of	companies
of	companies	the
companies	the	most
the	most	typical
most	typical	of
typical	of	these
of	these	are
these	are	harbor
are	harbor	cruises
harbor	cruises	usually
cruises	usually	including
usually	including	dinner
including	dinner	and
dinner	and	dancing
and	dancing	on
dancing	on	board
on	board	an
board	an	air
an	air	conditioned
air	conditioned	floating
conditioned	floating	nightclub
floating	nightclub	there
nightclub	there	are
there	are	evening
are	evening	bus
evening	bus	tours
bus	tours	that
tours	that	include
that	include	visits
include	visits	to
visits	to	a
to	a	restaurant
a	restaurant	and
restaurant	and	night
and	night	spots
night	spots	some
spots	some	tours
some	tours	combine
tours	combine	a
combine	a	chinese
a	chinese	banquet
chinese	banquet	with
banquet	with	a
with	a	visit
a	visit	to
visit	to	an
to	an	open
an	open	air
open	air	market
air	market	and
market	and	the
and	the	panorama
the	panorama	from
panorama	from	victoria
from	victoria	peak
victoria	peak	sports
peak	sports	participant
sports	participant	sports
participant	sports	beaches
sports	beaches	in
beaches	in	subtropical
in	subtropical	hong
subtropical	hong	kong
hong	kong	you
kong	you	can
you	can	swim
can	swim	from
swim	from	april
from	april	to
april	to	early
to	early	november
early	november	there
november	there	are
there	are	more
are	more	than
more	than	40
than	40	beaches
40	beaches	in
beaches	in	hong
in	hong	kong
hong	kong	that
kong	that	are
that	are	free
are	free	to
free	to	the
to	the	public
the	public	most
public	most	have
most	have	lifeguards
have	lifeguards	on
lifeguards	on	duty
on	duty	from
duty	from	april
from	april	to
april	to	october
to	october	changing
october	changing	rooms
changing	rooms	toilets
rooms	toilets	and
toilets	and	snack
and	snack	stands
snack	stands	on
stands	on	hong
on	hong	kong
hong	kong	island
kong	island	repulse
island	repulse	bay
repulse	bay	is
bay	is	the
is	the	most
the	most	popular
most	popular	others
popular	others	are
others	are	shek
are	shek	o
shek	o	on
o	on	the
on	the	east
the	east	coast
east	coast	and
coast	and	stanley
and	stanley	and
stanley	and	deep
and	deep	water
deep	water	bay
water	bay	on
bay	on	the
on	the	south
the	south	coast
south	coast	they
coast	they	are
they	are	very
are	very	crowded
very	crowded	especially
crowded	especially	on
especially	on	summer
on	summer	weekends
summer	weekends	on
weekends	on	the
on	the	outlying
the	outlying	islands
outlying	islands	cheung
islands	cheung	chau
cheung	chau	and
chau	and	cheung
and	cheung	sha
cheung	sha	are
sha	are	on
are	on	lantau
on	lantau	and
lantau	and	hung
and	hung	shing
hung	shing	ye
shing	ye	and
ye	and	lo
and	lo	so
lo	so	shing
so	shing	on
shing	on	lamma
on	lamma	inquire
lamma	inquire	about
inquire	about	water
about	water	pollution
water	pollution	levels
pollution	levels	golf
levels	golf	the
golf	the	hong
the	hong	kong
hong	kong	golf
kong	golf	club
golf	club	tel
club	tel	2812
tel	2812	7070
2812	7070	welcomes
7070	welcomes	visitors
welcomes	visitors	to
visitors	to	its
to	its	three
its	three	18
three	18	hole
18	hole	courses
hole	courses	at
courses	at	fanling
at	fanling	in
fanling	in	the
in	the	new
the	new	territories
new	territories	or
territories	or	the
or	the	9
the	9	hole
9	hole	course
hole	course	at
course	at	deep
at	deep	water
deep	water	bay
water	bay	the
bay	the	discovery
the	discovery	bay
discovery	bay	golf
bay	golf	club
golf	club	on
club	on	lantau
on	lantau	island
lantau	island	tel
island	tel	2987
tel	2987	7273
2987	7273	has
7273	has	an
has	an	18
an	18	hole
18	hole	robert
hole	robert	trent
robert	trent	jones
trent	jones	jr
jones	jr	course
jr	course	open
course	open	to
open	to	visitors
to	visitors	monday
visitors	monday	tuesday
monday	tuesday	and
tuesday	and	friday
and	friday	many
friday	many	hong
many	hong	kong
hong	kong	residents
kong	residents	and
residents	and	visitors
and	visitors	take
visitors	take	the
take	the	express
the	express	train
express	train	to
train	to	guangzhou
to	guangzhou	to
guangzhou	to	play
to	play	at
play	at	the
at	the	guangzhou
the	guangzhou	luhu
guangzhou	luhu	golf
luhu	golf	and
golf	and	country
and	country	club
country	club	tel
club	tel	2317
tel	2317	1933
2317	1933	in
1933	in	hong
in	hong	kong
hong	kong	or
kong	or	020
or	020	8350
020	8350	7777
8350	7777	the
7777	the	72
the	72	par
72	par	course
par	course	was
course	was	designed
was	designed	by
designed	by	dave
by	dave	thomas
dave	thomas	hiking
thomas	hiking	in
hiking	in	the
in	the	new
the	new	territories
new	territories	the
territories	the	famous
the	famous	maclehose
famous	maclehose	trail
maclehose	trail	stretches
trail	stretches	97
stretches	97	km
97	km	60
km	60	miles
60	miles	from
miles	from	sai
from	sai	kung
sai	kung	peninsula
kung	peninsula	to
peninsula	to	tuen
to	tuen	mun
tuen	mun	the
mun	the	lantau
the	lantau	trail
lantau	trail	is
trail	is	a
is	a	69
a	69	km
69	km	43
km	43	mile
43	mile	circular
mile	circular	trail
circular	trail	on
trail	on	lantau
on	lantau	island
lantau	island	that
island	that	begins
that	begins	and
begins	and	ends
and	ends	at
ends	at	silvermine
at	silvermine	bay
silvermine	bay	both
bay	both	trails
both	trails	are
trails	are	divided
are	divided	into
divided	into	smaller
into	smaller	segments
smaller	segments	of
segments	of	varying
of	varying	difficulty
varying	difficulty	maps
difficulty	maps	of
maps	of	hiking
of	hiking	trails
hiking	trails	are
trails	are	available
are	available	at
available	at	the
at	the	government
the	government	publications
government	publications	center
publications	center	low
center	low	block
low	block	government
block	government	offices
government	offices	66
offices	66	queensway
66	queensway	in
queensway	in	central
in	central	hkta
central	hkta	also
hkta	also	has
also	has	trail
has	trail	maps
trail	maps	and
maps	and	sponsors
and	sponsors	the
sponsors	the	guided
the	guided	nature
guided	nature	walks
nature	walks	led
walks	led	by
led	by	rangers
by	rangers	that
rangers	that	include
that	include	hikes
include	hikes	in
hikes	in	all
in	all	the
all	the	different
the	different	regions
different	regions	of
regions	of	hong
of	hong	kong
hong	kong	jogging
kong	jogging	victoria
jogging	victoria	park
victoria	park	has
park	has	a
has	a	jogging
a	jogging	track
jogging	track	in
track	in	causeway
in	causeway	bay
causeway	bay	sailing
bay	sailing	because
sailing	because	of
because	of	the
of	the	heavy
the	heavy	harbor
heavy	harbor	traffic
harbor	traffic	only
traffic	only	sailors
only	sailors	licensed
sailors	licensed	by
licensed	by	the
by	the	hong
the	hong	kong
hong	kong	authorities
kong	authorities	can
authorities	can	run
can	run	pleasure
run	pleasure	boats
pleasure	boats	in
boats	in	local
in	local	waters
local	waters	contact
waters	contact	the
contact	the	hong
the	hong	kong
hong	kong	yacht
kong	yacht	club
yacht	club	at
club	at	tel
at	tel	2832
tel	2832	2817
2832	2817	for
2817	for	information
for	information	taijiquan
information	taijiquan	tai
taijiquan	tai	chi
tai	chi	hkta
chi	hkta	offers
hkta	offers	lessons
offers	lessons	in
lessons	in	these
in	these	exercises
these	exercises	that
exercises	that	improve
that	improve	concentration
improve	concentration	and
concentration	and	balance
and	balance	at
balance	at	garden
at	garden	plaza
garden	plaza	hong
plaza	hong	kong
hong	kong	park
kong	park	admiralty
park	admiralty	tel
admiralty	tel	2058
tel	2058	1234
2058	1234	tennis
1234	tennis	there
tennis	there	are
there	are	13
are	13	public
13	public	courts
public	courts	at
courts	at	victoria
at	victoria	park
victoria	park	tennis
park	tennis	centre
tennis	centre	tel
centre	tel	2570
tel	2570	6168
2570	6168	near
6168	near	tin
near	tin	hau
tin	hau	station
hau	station	spectator
station	spectator	sports
spectator	sports	horseracing
sports	horseracing	all
horseracing	all	levels
all	levels	of
levels	of	society
of	society	share
society	share	a
share	a	feverish
a	feverish	interest
feverish	interest	in
interest	in	the
in	the	sport
the	sport	of
sport	of	kings
of	kings	the
kings	the	racing
the	racing	schedule
racing	schedule	is
schedule	is	september
is	september	to
september	to	june
to	june	and
june	and	hong
and	hong	kong
hong	kong	maintains
kong	maintains	two
maintains	two	tracks
two	tracks	the
tracks	the	older
the	older	happy
older	happy	valley
happy	valley	course
valley	course	on
course	on	hong
on	hong	kong
hong	kong	island
kong	island	and
island	and	the
and	the	striking
the	striking	sha
striking	sha	tin
sha	tin	track
tin	track	in
track	in	the
in	the	new
the	new	territories
new	territories	the
territories	the	hong
the	hong	kong
hong	kong	tourist
kong	tourist	association
tourist	association	runs
association	runs	a
runs	a	come
a	come	horseracing
come	horseracing	tour
horseracing	tour	which
tour	which	includes
which	includes	entry
includes	entry	to
entry	to	the
to	the	hong
the	hong	kong
hong	kong	jockey
kong	jockey	club
jockey	club	visitors
club	visitors	box
visitors	box	and
box	and	members
and	members	enclosure
members	enclosure	and
enclosure	and	a
and	a	buffet
a	buffet	style
buffet	style	meal
style	meal	cricket
meal	cricket	the
cricket	the	hong
the	hong	kong
hong	kong	international
kong	international	cricket
international	cricket	series
cricket	series	held
series	held	in
held	in	late
in	late	september
late	september	brings
september	brings	teams
brings	teams	from
teams	from	all
from	all	over
all	over	the
over	the	world
the	world	rugby
world	rugby	the
rugby	the	rugby
the	rugby	sevens
rugby	sevens	sees
sevens	sees	teams
sees	teams	come
teams	come	together
come	together	from
together	from	all
from	all	over
all	over	the
over	the	world
the	world	for
world	for	15
for	15	matches
15	matches	in
matches	in	march
in	march	or
march	or	early
or	early	april
early	april	children
april	children	s
children	s	hong
s	hong	kong
hong	kong	hong
kong	hong	kong
hong	kong	has
kong	has	many
has	many	attractions
many	attractions	that
attractions	that	appeal
that	appeal	to
appeal	to	children
to	children	of
children	of	all
of	all	ages
all	ages	hong
ages	hong	kong
hong	kong	s
kong	s	many
s	many	beaches
many	beaches	are
beaches	are	especially
are	especially	fun
especially	fun	for
fun	for	children
for	children	children
children	children	love
children	love	riding
love	riding	on
riding	on	hong
on	hong	kong
hong	kong	s
kong	s	antique
s	antique	trams
antique	trams	a
trams	a	ride
a	ride	on
ride	on	the
on	the	peak
the	peak	tram
peak	tram	is
tram	is	sure
is	sure	to
sure	to	provide
to	provide	a
provide	a	thrill
a	thrill	and
thrill	and	in
and	in	the
in	the	peak
the	peak	tower
peak	tower	they
tower	they	ll
they	ll	enjoy
ll	enjoy	the
enjoy	the	peak
the	peak	explorer
peak	explorer	ride
explorer	ride	and
ride	and	ripley
and	ripley	s
ripley	s	believe
s	believe	it
believe	it	or
it	or	not
or	not	ocean
not	ocean	park
ocean	park	see
park	see	page
see	page	32
page	32	is
32	is	popular
is	popular	with
popular	with	children
with	children	of
children	of	all
of	all	ages
all	ages	there
ages	there	s
there	s	a
s	a	special
a	special	kid
special	kid	s
kid	s	world
s	world	that
world	that	those
that	those	under
those	under	12
under	12	can
12	can	enter
can	enter	free
enter	free	when
free	when	accompanied
when	accompanied	by
accompanied	by	a
by	a	paying
a	paying	adult
paying	adult	the
adult	the	more
the	more	daring
more	daring	can
daring	can	try
can	try	out
try	out	the
out	the	terrifying
the	terrifying	roller
terrifying	roller	coaster
roller	coaster	rides
coaster	rides	hong
rides	hong	kong
hong	kong	s
kong	s	state
s	state	of
state	of	the
of	the	art
the	art	interactive
art	interactive	museums
interactive	museums	will
museums	will	interest
will	interest	children
interest	children	of
children	of	all
of	all	ages
all	ages	the
ages	the	science
the	science	museum
science	museum	in
museum	in	tsim
in	tsim	sha
tsim	sha	tsui
sha	tsui	east
tsui	east	allows
east	allows	children
allows	children	to
children	to	get
to	get	their
get	their	hands
their	hands	on
hands	on	over
on	over	half
over	half	of
half	of	its
of	its	500
its	500	exhibits
500	exhibits	while
exhibits	while	the
while	the	nearby
the	nearby	space
nearby	space	museum
space	museum	has
museum	has	regular
has	regular	screenings
regular	screenings	on
screenings	on	an
on	an	enormous
an	enormous	omnimax
enormous	omnimax	screen
omnimax	screen	in
screen	in	its
in	its	space
its	space	theater
space	theater	making
theater	making	the
making	the	night
the	night	sky
night	sky	come
sky	come	vibrantly
come	vibrantly	alive
vibrantly	alive	for
alive	for	children
for	children	who
children	who	love
who	love	boats
